Name;Division;Conference
ATL;Southeast;East
BKN;Atlantic;East
BOS;Atlantic;East
CHA;Southeast;East
CHI;Central;East
CLE;Central;East
DAL;Southwest;West
DEN;Northwest;West
DET;Central;East
GSW;Pacific;West
HOU;Southwest;West
IND;Central;East
LAC;Pacific;West
LAL;Pacific;West
MEM;Southwest;West
MIA;Southeast;East
MIL;Central;East
MIN;Northwest;West
NOP;Southwest;West
NYK;Atlantic;East
OKC;Northwest;West
ORL;Southeast;East
PHI;Atlantic;East
PHX;Pacific;West
POR;Northwest;West
SAC;Pacific;West
SAS;Southwest;West
TOR;Atlantic;East
UTA;Northwest;West
WAS;Southeast;East
